
Step(*): 0, t: 0.015625, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)
Step(*): 79, t: 0.0215359, dt: 8.72889e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 80, t: 0.0216236, dt: 8.76442e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 81, t: 0.0217116, dt: 8.80008e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 82, t: 0.0218, dt: 8.8359e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 83, t: 0.0218887, dt: 8.87186e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 84, t: 0.0219777, dt: 8.90796e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 85, t: 0.0220672, dt: 8.94421e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 86, t: 0.022157, dt: 8.98061e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 87, t: 0.0222472, dt: 9.01716e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 88, t: 0.0223377, dt: 9.05386e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 89, t: 0.0224286, dt: 9.09071e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 90, t: 0.0225199, dt: 9.1277e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 91, t: 0.0226115, dt: 9.16485e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 92, t: 0.0227036, dt: 9.20215e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 93, t: 0.022796, dt: 9.2396e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 94, t: 0.0228887, dt: 9.2772e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 95, t: 0.0229819, dt: 9.31495e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 96, t: 0.0230754, dt: 9.35286e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 97, t: 0.0231693, dt: 9.39093e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 98, t: 0.0232636, dt: 9.42914e-05, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

